artist,total_views,100m,avg
Harrdy Sandhu,2945200000,7.0,0.67
Brytiago,2945000000,7.0,0.66
Alex Rose,2917000000,6.0,1.06
Red Velvet,2916900000,12.0,0.58
Jay Chou,2915200000,4.0,0.77
Paramore,2911000000,10.0,0.59
Camila,2903800000,9.0,0.54
French Montana,2902300000,3.0,0.62
Soolking,2899900000,7.0,1.2
The Beatles,2893800000,9.0,0.96
Aviões do Forró,2882500000,6.0,0.77
Bryant Myers,2878900000,10.0,1.25
Bee Gees,2854400000,6.0,1.33
Ne-Yo,2842200000,10.0,0.73
La Oreja de Van Gogh,2833900000,5.0,1.13
Calle 13,2830000000,9.0,0.53
Mac Miller,2813700000,5.0,0.68
Gente De Zona,2800300000,4.0,0.49
Dr. Dre,2799200000,5.0,0.94
Udit Narayan,2798200000,8.0,0.75
La Arrolladora Banda El Limón De René Camacho,2784500000,7.0,0.81
Five Finger Death Punch,2784100000,9.0,0.82
Greeicy,2775400000,8.0,0.84
Kratai Phannipha,2770200000,6.0,0.37
Aerosmith,2761600000,5.0,0.87
Zoé,2756300000,6.0,0.81
MAGIC!,2746500000,2.0,0.42
Soprano,2736200000,10.0,0.43
Zara Larsson,2729600000,4.0,0.3
Modern Talking,2723000000,7.0,1.1
La Trakalosa de Monterrey,2721100000,7.0,0.42
Aya Nakamura,2715200000,5.0,0.8
Gabriela Rocha,2703200000,4.0,0.96
Childish Gambino,2699800000,6.0,0.69
Labanoon,2698700000,6.0,0.28
L'Algérino,2694400000,8.0,0.29
Dilsinho,2687000000,4.0,0.68
Feid,2669100000,8.0,6.68
The Cranberries,2667000000,5.0,0.86
Son Tung M-TP,2660600000,11.0,0.61
Dimitri Vegas & Like Mike,2637100000,3.0,0.29
T.I.,2632100000,6.0,0.43
Ankush Raja,2625100000,6.0,1.23
Fetty Wap,2615400000,7.0,0.33
The Lonely Island,2603500000,9.0,0.17
A$AP Rocky,2599500000,4.0,0.7
Daft Punk,2587000000,5.0,0.73
MCs Zaac & Jerry,2585800000,8.0,0.23
Amr Diab,2584400000,3.0,0.41
will.i.am,2582000000,6.0,0.3
Jesús Adrián Romero,2577000000,7.0,0.87
Fall Out Boy,2572400000,6.0,0.42
Zé Felipe,2553000000,8.0,2.4
Robin Schulz,2552600000,6.0,0.58
Oasis,2538500000,7.0,0.6
Franco De Vita,2537400000,8.0,0.64
5 Seconds of Summer,2537000000,5.0,0.38
YNW Melly,2534200000,5.0,0.61
Swedish House Mafia,2525600000,5.0,0.46
Luke Combs,2522200000,6.0,1.08
Westlife,2515000000,6.0,0.84
Anne-Marie,2514700000,6.0,0.93
Ferrugem,2511500000,6.0,0.79
Jon Z,2505300000,5.0,0.97
Gloria Trevi,2501300000,5.0,0.64
Mustafa Ceceli,2495000000,7.0,0.7
Mamamoo,2494400000,4.0,0.62
Turma do Pagode,2482800000,6.0,0.65
Ava Max,2479700000,5.0,1.31
David Bisbal,2450600000,6.0,0.47
R. Kelly,2449000000,6.0,0.11
Felipe Araújo,2433900000,6.0,0.58
Jay Wheeler,2433500000,4.0,1.33
Tarkan,2430800000,4.0,0.68
The Pussycat Dolls,2429500000,8.0,0.7
