artist,total_views,100m,avg
Shivam Pathak,385500000,1.0,0.1
Lifehouse,384700000,1.0,0.06
Azealia Banks,383300000,1.0,0.03
VIXX,382600000,Não informado,0.03
Normani,382000000,2.0,0.14
Lupe Fiasco,381800000,1.0,0.04
Nargiz,381200000,1.0,0.05
Natalie Imbruglia,380200000,1.0,0.11
Jazmine Sullivan,378700000,Não informado,0.17
Thepparit Imsudsumran,377400000,1.0,0.03
Nek,373900000,1.0,0.1
Vitaa,373600000,1.0,0.07
Kavinsky,371000000,1.0,0.08
American Authors,369200000,1.0,0.05
Dosseh,367900000,Não informado,0.04
James Morrison,367500000,1.0,0.04
Namika,367400000,1.0,0.05
La Ley,367000000,1.0,0.08
Gesu no Kiwami Otome,366100000,Não informado,0.03
Kelsea Ballerini,365900000,Não informado,0.09
Tom and Angela,365100000,1.0,0.01
K.Will,364500000,1.0,0.09
Giorgia,363700000,Não informado,0.05
Woodkid,363100000,1.0,0.08
Beck,361900000,1.0,0.08
Bomfunk MC's,361500000,1.0,0.12
Enigma,360200000,1.0,0.11
Gnarls Barkley,358100000,2.0,0.24
Alice Cooper,358000000,1.0,0.08
Guru Josh,357700000,1.0,0.1
Matt Hunter,357700000,1.0,0.02
Alice Merton,357100000,1.0,0.08
Cassie,356800000,1.0,0.1
Seeed,356500000,Não informado,0.06
Bad Meets Evil,353900000,2.0,0.06
Marc Seguí,353600000,1.0,0.29
Rebecca Black,353600000,1.0,0.02
Ruth B,353500000,1.0,0.11
London Grammar,352900000,Não informado,0.09
Priyanka Chopra,351900000,1.0,0.05
RUN-DMC,350900000,1.0,0.09
Arizona Zervas,350800000,1.0,0.1
Warren G,350700000,1.0,0.1
Mika Singh,350300000,1.0,0.08
Margaret,349800000,Não informado,0.04
Twister El Rey,347700000,1.0,0.04
Technotronic,347100000,1.0,0.12
Kate Bush,346200000,1.0,0.26
Gianluca Vacchi,345600000,1.0,0.03
Hurts,343400000,Não informado,0.05
Amy Macdonald,340600000,1.0,0.12
Farid Bang,340500000,Não informado,0.04
Claudio Capéo,339400000,1.0,0.07
Sage The Gemini,339000000,2.0,0.02
Icona Pop,336900000,1.0,0.05
Apocalyptica,335400000,Não informado,0.12
Ketsumeishi,335000000,2.0,0.06
MC João,331900000,1.0,0.03
Superfly,329900000,1.0,0.07
Lena,329000000,Não informado,0.03
Tacabro,326700000,2.0,0.05
Yohani,326400000,1.0,0.07
Sukima Switch,325800000,1.0,0.06
Natasha Bedingfield,323200000,1.0,0.06
Janelle Monáe,320700000,Não informado,0.04
Wagakki Band,319800000,1.0,0.04
Feder,318000000,2.0,0.06
CLC,317500000,Não informado,0.03
Klingande,316400000,1.0,0.02
Ryan Higa,314000000,Não informado,0.01
Adel Tawil,312800000,Não informado,0.04
Echosmith,312500000,1.0,0.05
Misia,311800000,Não informado,0.08
Alien Ant Farm,311500000,1.0,0.11
Wyclef Jean,310900000,2.0,0.09
Cee Lo Green,310200000,1.0,0.03
Ronnie Flex,307200000,Não informado,0.02
Evaluna Montaner,306500000,2.0,0.03
Paolo Nutini,306100000,Não informado,0.06
Robyn,306000000,Não informado,0.04
Claudia Leitte,305400000,Não informado,0.03
Elle King,304500000,1.0,0.1
Salt-N-Pepa,304300000,2.0,0.08
Vanessa Hudgens,303000000,1.0,0.01
Lykke Li,302500000,Não informado,0.03
Ashley Tisdale,302500000,Não informado,0.01
Francesco Renga,302100000,Não informado,0.03
Jidenna,301400000,Não informado,0.03
MC Gui,301300000,Não informado,0.01
Rednex,300600000,1.0,0.13
Belinda,299800000,Não informado,0.06
Die Toten Hosen,297700000,Não informado,0.08
Pacheco,295600000,1.0,0.02
Ermal Meta,294600000,Não informado,0.04
Shontelle,293700000,1.0,0.04
The Veronicas,293500000,1.0,0.05
Israel Novaes,293300000,Não informado,0.02
The-Dream,292200000,Não informado,0.06
Olexesh,290800000,1.0,0.04
Manu Gavassi,289600000,Não informado,0.02
DJ Sem,288600000,1.0,0.02
Gianluca Grignani,287200000,1.0,0.34
Flower,287100000,Não informado,0.06
Bausa,286000000,1.0,0.04
Hooverphonic,285600000,1.0,0.1
Trịnh Đình Quang,285100000,1.0,0.02
Kelis,284300000,Não informado,0.06
Near,283200000,1.0,0.04
O-Zone,282700000,1.0,0.12
Robert Miles,282100000,1.0,0.1
Chyno Miranda,281900000,1.0,0.02
Afroman,280800000,1.0,0.11
Aloe Blacc,280000000,Não informado,0.03
Estelle,279800000,1.0,0.08
Brandon Beal,279500000,1.0,0.05
Kardinal Offishall,279500000,1.0,0.09
BoA,279300000,Não informado,0.05
Cleopatra Stratan,278900000,Não informado,0.08
Stereoact,277700000,1.0,0.03
Veysel Mutlu,277400000,1.0,0.03
Isyana Sarasvati,276400000,1.0,0.05
Jeff Buckley,273400000,1.0,0.05
Plain White T's,272200000,Não informado,0.03
Darude,270200000,1.0,0.06
N.E.R.D,268500000,1.0,0.03
MCs Pikeno e Menor,268399999,1.0,0.0
Natalie La Rose,268399999,1.0,0.02
Midnight Oil,267300000,1.0,0.08
Charly Black,266200000,Não informado,0.05
Daniel Powter,266000000,1.0,0.07
Arcade Fire,265100000,Não informado,0.05
Hunter Hayes,264700000,Não informado,0.04
Anastasija Ražnatović,264600000,Não informado,0.03
Faithless,264100000,1.0,0.16
Doğukan Manço,264100000,1.0,0.02
After School,261100000,1.0,0.08
Paweł Domagała,259800000,1.0,0.03
Marteria,258700000,Não informado,0.02
Kristína,258300000,Não informado,0.02
Anahí,256100000,Não informado,0.11
Phillip Phillips,254800000,1.0,0.04
NU'EST,253400000,1.0,0.04
Clementino,253400000,Não informado,0.02
Ayse Hatun Önal,252000000,1.0,0.02
David Bowie,251900000,Não informado,0.05
Cobra Starship,251200000,1.0,0.02
Spyair,249300000,Não informado,0.05
Ella Henderson,248100000,1.0,0.02
Wheatus,246400000,1.0,0.08
Hanson,244000000,1.0,0.05
Dev,243800000,Não informado,0.01
B.A.P,242600000,Não informado,0.02
Francesca Michielin,241200000,Não informado,0.03
Nick Cave & The Bad Seeds,240200000,Não informado,0.07
Hoa Vinh,239200000,1.0,0.12
Kiiara,237800000,1.0,0.04
Mylène Farmer,237600000,Não informado,0.09
Ayaka,237200000,Não informado,0.03
Tay Zonday,236300000,1.0,0.01
Giusy Ferreri,234700000,Não informado,0.04
Alle Farben,233500000,Não informado,0.02
I LOVE MAKONNEN,233200000,1.0,0.04
Marvin Gaye,233000000,1.0,0.08
Paul McCartney,232400000,Não informado,0.1
Max Gazzè,232300000,Não informado,0.03
Kwabs,232000000,1.0,0.03
Cesare Cremonini,231400000,Não informado,0.06
Ráfaga,230400000,Não informado,0.05
Yeah Yeah Yeahs,230300000,Não informado,0.08
Ghetto Phénomène,230100000,1.0,0.02
Willow Smith,230000000,1.0,0.1
MC Lon,229300000,Não informado,0.02
La Joaqui,229100000,Não informado,1.75
Martin Tungevaag,227600000,1.0,0.02
Glasperlenspiel,226600000,1.0,0.03
Daya,222600000,Não informado,0.02
HAIM,220400000,Não informado,0.03
Max Giesinger,219700000,Não informado,0.03
amazarashi,219600000,Não informado,0.05
Gestört aber GeiL,219200000,Não informado,0.02
Alex Mica,217400000,1.0,0.02
GloRilla,216500000,Não informado,0.86
Steps,215400000,Não informado,0.11
Juan Karlos,213400000,1.0,0.04
Xantos,212700000,1.0,0.03
David Archuleta,212600000,1.0,0.04
Pardison Fontaine,210200000,1.0,0.04
Soul Asylum,209500000,1.0,0.07
Crayon Pop,208600000,Não informado,0.02
Dulce María,207300000,Não informado,0.03
Loreen,207300000,1.0,0.03
MC Bin Laden,206400000,1.0,0.01
Valesca Popozuda,206000000,1.0,0.02
Snakehips,205900000,Não informado,0.02
Pietro Lombardi,204100000,Não informado,0.02
Duffy,203200000,Não informado,0.02
Psirico,201100000,1.0,0.04
Alex Clare,200800000,Não informado,0.02
The Avener,200500000,Não informado,0.04
